Namespace(dataset='cora', dropout=0.5, gpu=0, l2norm=0, lr=0.01, model_path=None, n_bases=-1, n_epochs=200, n_hidden=3, n_layers=2, use_self_loop=False, validation=False)
Graph constructed.
adj_shape:	 (56670, 56670)
current iteration: 	 1
select index length:	 20
idx_select:	 [29087, 31381, 37825, 27310, 43992, 35331, 30029, 33078, 34808, 31651, 33841, 39204, 43238, 27564, 38435, 37443, 25485, 31044, 36721, 30714]
train index length:	 20
train index:	 [29087, 31381, 37825, 27310, 43992, 35331, 30029, 33078, 34808, 31651, 33841, 39204, 43238, 27564, 38435, 37443, 25485, 31044, 36721, 30714]
rgcn index: 	 [4126, 6420, 12864, 2349, 19031, 10370, 5068, 8117, 9847, 6690, 8880, 14243, 18277, 2603, 13474, 12482, 524, 6083, 11760, 5753]
others:	 ['author', 'paper', 'term']
start training...
Epoch 00136 | Train Acc: 1.0000 | Train Loss: 0.1360 | Valid Acc: 0.2743 | Valid loss: 2.6931 | Time: 0.0384
Epoch 00137 | Train Acc: 0.9500 | Train Loss: 0.1609 | Valid Acc: 0.2799 | Valid loss: 2.6997 | Time: 0.0384
Epoch 00138 | Train Acc: 0.9500 | Train Loss: 0.1857 | Valid Acc: 0.2886 | Valid loss: 2.7124 | Time: 0.0383
Epoch 00139 | Train Acc: 1.0000 | Train Loss: 0.0579 | Valid Acc: 0.2889 | Valid loss: 2.7259 | Time: 0.0383
Epoch 00140 | Train Acc: 1.0000 | Train Loss: 0.0946 | Valid Acc: 0.2766 | Valid loss: 2.7457 | Time: 0.0383
Epoch 00141 | Train Acc: 1.0000 | Train Loss: 0.1111 | Valid Acc: 0.3055 | Valid loss: 2.6970 | Time: 0.0383
Epoch 00142 | Train Acc: 1.0000 | Train Loss: 0.0584 | Valid Acc: 0.2922 | Valid loss: 2.7232 | Time: 0.0383
Epoch 00143 | Train Acc: 1.0000 | Train Loss: 0.0743 | Valid Acc: 0.2855 | Valid loss: 2.7281 | Time: 0.0383
Epoch 00144 | Train Acc: 1.0000 | Train Loss: 0.1235 | Valid Acc: 0.2894 | Valid loss: 2.7032 | Time: 0.0383
Epoch 00145 | Train Acc: 1.0000 | Train Loss: 0.1206 | Valid Acc: 0.2761 | Valid loss: 2.7820 | Time: 0.0383
Epoch 00146 | Train Acc: 1.0000 | Train Loss: 0.1201 | Valid Acc: 0.3044 | Valid loss: 2.7213 | Time: 0.0383
Epoch 00147 | Train Acc: 1.0000 | Train Loss: 0.1662 | Valid Acc: 0.2876 | Valid loss: 2.7345 | Time: 0.0383
Epoch 00148 | Train Acc: 1.0000 | Train Loss: 0.0421 | Valid Acc: 0.2914 | Valid loss: 2.7634 | Time: 0.0383
Epoch 00149 | Train Acc: 1.0000 | Train Loss: 0.0912 | Valid Acc: 0.2883 | Valid loss: 2.7623 | Time: 0.0383
Epoch 00150 | Train Acc: 0.9500 | Train Loss: 0.1302 | Valid Acc: 0.2978 | Valid loss: 2.7445 | Time: 0.0383
Epoch 00151 | Train Acc: 1.0000 | Train Loss: 0.0835 | Valid Acc: 0.3004 | Valid loss: 2.7780 | Time: 0.0383
Epoch 00152 | Train Acc: 1.0000 | Train Loss: 0.0729 | Valid Acc: 0.3067 | Valid loss: 2.7504 | Time: 0.0383
Epoch 00153 | Train Acc: 0.9500 | Train Loss: 0.1532 | Valid Acc: 0.2912 | Valid loss: 2.8135 | Time: 0.0383
Epoch 00154 | Train Acc: 1.0000 | Train Loss: 0.0363 | Valid Acc: 0.2837 | Valid loss: 2.8216 | Time: 0.0383
Epoch 00155 | Train Acc: 0.9500 | Train Loss: 0.1445 | Valid Acc: 0.3085 | Valid loss: 2.7995 | Time: 0.0385
Epoch 00156 | Train Acc: 1.0000 | Train Loss: 0.0928 | Valid Acc: 0.3078 | Valid loss: 2.7895 | Time: 0.0385
Epoch 00157 | Train Acc: 1.0000 | Train Loss: 0.0985 | Valid Acc: 0.3070 | Valid loss: 2.8023 | Time: 0.0386
Epoch 00158 | Train Acc: 1.0000 | Train Loss: 0.1250 | Valid Acc: 0.2945 | Valid loss: 2.8249 | Time: 0.0386
Epoch 00159 | Train Acc: 1.0000 | Train Loss: 0.0421 | Valid Acc: 0.2981 | Valid loss: 2.8414 | Time: 0.0386
Epoch 00160 | Train Acc: 1.0000 | Train Loss: 0.0507 | Valid Acc: 0.2858 | Valid loss: 2.8739 | Time: 0.0386
